,1-grams,1-grams count,2-grams,2-grams count,3-grams,3-grams count,4-grams,4-grams count
0,e,1189014676,th,120679073,and,65033292,that,22612022
1,a,833982247,in,118074615,the,40775890,with,18180789
2,t,773913373,an,113684137,tha,26246517,whic,10075835
3,o,752529511,of,79847895,for,22559810,this,9397394
4,i,734823052,re,77200946,was,21166554,from,9140298
5,n,733763355,to,73264876,wit,18665944,have,8616190
6,s,660961604,en,71016825,his,17715190,they,8347302
7,r,624196415,er,65486150,her,17170500,were,7201643
8,l,430932364,at,62394478,ing,15180637,ther,6801235
9,h,430471311,on,60580490,you,15036768,thei,6428763
10,d,413385606,he,58946535,con,14876373,tion,5722971
11,u,313889795,st,58779084,thi,14780617,them,5670723
12,c,280993019,te,52236762,not,14407198,some,5304338
13,m,263765484,me,51797967,whi,13128770,when,5156238
14,f,227376330,co,49075530,ent,12362926,will,4989675
15,g,197613863,de,48637134,had,11710072,been,4952242
16,p,193182249,le,48327310,all,11530214,woul,4633337
17,w,189162484,es,47280093,but,11218318,said,4563169
18,y,165575517,ed,46113836,com,11034777,thin,4444174
19,b,153712961,is,45368916,ter,10078503,what,4265617
20,v,113903768,it,45018258,ion,10076752,time,4182894
21,k,78867918,be,43394599,fro,9988675,more,4015820
22,j,23668908,se,43380002,pro,9789767,othe,3939727
23,z,20352924,ar,41896905,hav,9655517,thou,3906237
24,q,19716216,ha,40494395,man,9613760,cons,3811082
25,x,18878315,ve,39340099,wer,8913005,ever,3769033
26,,,ma,37663848,she,8815112,into,3661236
27,,,al,37285349,him,8653022,part,3548859
28,,,ti,36655710,par,8455391,then,3498821
29,,,no,34758563,are,8375220,over,3497267
30,,,wa,34755361,whe,8318682,cont,3446308
31,,,hi,34719541,per,8288296,comp,3443745
32,,,wh,34669758,int,7931481,than,3333290
33,,,ne,34135539,who,7829475,comm,3285912
34,,,ch,33999094,men,7805427,grea,3255694
35,,,nt,33683720,one,7716238,inte,3250066
36,,,ng,33250284,cou,7703171,know,3166255
37,,,fo,33169875,res,7691756,very,3084072
38,,,ll,32568565,ver,7686426,coul,3059804
39,,,ou,31207052,que,7373204,your,3052214
40,,,wi,30428981,sta,7307363,afte,2992640
41,,,li,29803022,tio,7110485,like,2933908
42,,,as,28947919,eve,7043200,only,2930019
43,,,so,28666036,pre,6692685,thes,2896171
44,,,la,28368816,tho,6490161,abou,2866038
45,,,or,28348356,des,6475585,upon,2850548
46,,,nd,28130796,cha,6448614,ment,2744203
47,,,si,27903302,wor,6308486,pres,2734793
48,,,di,27624031,dis,6254337,shou,2724562
49,,,un,27255330,son,5921527,agai,2640786
50,,,ce,26598239,mor,5907031,litt,2612768
51,,,ca,26524069,see,5842285,unde,2599162
52,,,pr,25756296,che,5728194,hand,2576911
53,,,we,25375904,ted,5700701,made,2562557
54,,,ri,25338087,sho,5700618,wher,2520450
55,,,ic,24767681,der,5690106,thro,2514762
56,,,ra,24101952,wil,5680070,hear,2510625
57,,,sh,24013503,den,5646864,such,2480217
58,,,pe,23861320,les,5636861,even,2421548
59,,,sa,23796391,sai,5587184,come,2382350
60,,,mo,23182199,tin,5577459,work,2376579
61,,,pa,21862327,sen,5576148,long,2363657
62,,,ta,20752096,som,5530000,befo,2343457
63,,,ge,19912373,str,5506475,stra,2303416
64,,,us,19869896,pla,5495475,firs,2279521
65,,,ur,19583594,ati,5422786,take,2265191
66,,,su,19492266,end,5402129,stat,2243277
67,,,tr,19324524,our,5368098,look,2216864
68,,,mi,19176880,tra,5353565,most,2204138
69,,,lo,19086223,hea,5297412,must,2197304
70,,,el,19070571,bee,5216801,plac,2189586
71,,,rt,19047741,gre,5117402,atio,2164553
72,,,ea,18352512,und,5094442,much,2156925
73,,,ly,18169743,ers,5006138,king,2155249
74,,,po,18095442,wou,4923761,pass,2138498
75,,,il,17985784,rea,4902185,form,2106724
76,,,ns,17701237,est,4800578,char,2100860
77,,,ro,17499602,ins,4791604,well,2097270
78,,,do,17369201,nce,4778998,good,2096065
79,,,fr,17118980,ere,4769149,down,2061859
80,,,ss,16968523,ple,4744116,here,2051422
81,,,rs,16781364,min,4726874,give,2036850
82,,,io,16574374,ten,4665720,rest,2002820
83,,,yo,16419644,out,4651179,coun,1990556
84,,,em,16377912,hou,4618264,year,1944263
85,,,ac,16369108,tle,4587676,thos,1932630
86,,,et,16256819,pos,4559063,make,1916260
87,,,ho,15873105,era,4534834,bein,1900292
88,,,bu,15760876,thr,4498097,pers,1894510
89,,,qu,15501930,ugh,4432078,neve,1894275
90,,,om,15101344,its,4422965,dist,1864630
91,,,ie,15095699,tim,4389419,foun,1848429
92,,,wo,14949825,pri,4373344,cour,1790953
93,,,da,14853040,mon,4299270,many,1784964
94,,,ul,14787403,kin,4285557,call,1775552
95,,,ai,14696697,sti,4241232,just,1769330
96,,,ke,14495699,mar,4228337,came,1746731
97,,,fi,14410537,oth,4204278,life,1742703
98,,,gh,14353709,can,4203758,whil,1678671
99,,,fe,14343534,has,4183405,thre,1670222
